Número,Nombre,Tipo,Altura (m),Peso (kg)
93,Haunter,Fantasma,1.6,0.1
94,Gengar,Fantasma,1.5,40.5
95,Onix,Roca,8.8,210.0
96,Drowzee,Psiquico,1.0,32.4
97,Hypno,Psiquico,1.6,75.6
98,Krabby,Agua,0.4,6.5
99,Kingler,Agua,1.3,60.0
100,Voltorb,Eléctrico,0.5,10.4
101,Electrode,Eléctrico,1.2,66.6
102,Exeggcute,Planta,0.4,2.5
103,Exeggutor,Planta,2.0,120.0
104,Cubone,Tierra,0.4,6.5
105,Marowak,Tierra,1.0,45.0
106,Hitmonlee,Lucha,1.5,49.8
107,Hitmonchan,Lucha,1.4,50.2
108,Lickitung,Normal,1.2,65.5
109,Koffing,Veneno,0.6,1.0
110,Weezing,Veneno,1.2,9.5
111,Rhyhorn,Tierra,1.0,115.0
112,Rhydon,Tierra,1.9,120.0
113,Chansey,Normal,1.1,34.6
114,Tangela,Planta,1.0,35.0
115,Kangaskhan,Normal,2.2,80.0
116,Horsea,Agua,0.4,8.0
117,Seadra,Agua,1.2,25.0
118,Goldeen,Agua,0.6,15.0
119,Seaking,Agua,1.3,39.0
120,Staryu,Agua,0.8,34.5
121,Starmie,Agua,1.1,80.0
122,Mr. Mime,Psiquico,1.3,54.5
123,Scyther,Bicho,1.5,56.0
124,Jynx,Hielo,1.4,40.6
125,Electabuzz,Eléctrico,1.1,30.0
126,Magmar,Fuego,1.3,44.5
127,Pinsir,Bicho,1.5,55.0
128,Tauros,Normal,1.4,88.4
129,Magikarp,Agua,0.9,10.0
130,Gyarados,Agua,6.5,235.0
131,Lapras,Agua,2.5,220.0
132,Ditto,Normal,0.3,4.0
133,Eevee,Normal,0.3,6.5
134,Vaporeon,Agua,1.0,29.0
135,Jolteon,Eléctrico,0.8,24.5
136,Flareon,Fuego,0.9,25.0
137,Porygon,Normal,0.8,36.5
138,Omanyte,Roca,0.4,7.5
139,Omastar,Roca,1.0,35.0
140,Kabuto,Roca,0.5,11.5
141,Kabutops,Roca,1.3,40.5
142,Aerodactyl,Roca,1.8,59.0
143,Snorlax,Normal,2.1,460.0
144,Articuno,Hielo,1.7,55.4
145,Zapdos,Eléctrico,1.6,52.6
146,Moltres,Fuego,2.0,60.0
147,Dratini,Dragón,1.8,3.3
148,Dragonair,Dragón,4.0,16.5
149,Dragonite,Dragón,2.2,210.0
150,Mewtwo,Psiquico,2.0,122.0
